,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
0,Jorge Masvidal,3.0,190,17,7,0,0.0,0,0,125,66,0.52,0,88,157,0,0,0,36,180.34,Orthodox,187.96,170,7,1
1,Max Holloway,1.0,170,17,5,0,0.0,0,0,268,102,0.38,0,111,277,0,0,0,28,180.34,Orthodox,175.26,145,9,2
2,Jose Aldo,6.0,175,18,5,0,0.0,1,0,157,83,0.52,0,83,157,0,0,0,33,170.18,Orthodox,177.8,135,11,0
3,Rose Namajunas,2.0,-215,6,3,0,0.0,1,0,235,82,0.34,0,82,235,0,0,0,28,165.1,Orthodox,165.1,115,1,3
4,Paige VanZant,,500,5,3,0,0.0,0,0,5,3,0.6,0,4,6,0,0,0,26,162.56,Orthodox,165.1,115,2,2
5,Jiri Prochazka,,129,0,0,0,0.0,0,0,73,33,0.45,1,33,73,0,0,0,27,193.04,Orthodox,193.04,205,0,0
6,Muslim Salikhov,,-134,3,1,0,0.0,3,0,88,40,0.45,0,40,88,0,0,0,36,180.34,Orthodox,177.8,170,2,0
7,Danny Henry,,170,2,1,0,0.0,0,0,16,6,0.37,0,6,16,0,0,0,31,182.88,Orthodox,185.42,145,0,1
8,Roman Bogatov,,145,0,0,0,0.9,11,1,117,50,0.42,0,81,155,0,1,1,29,172.72,Orthodox,172.72,155,0,0
9,Maxim Grishin,,-112,0,0,0,0.0,0,0,32,18,0.56,0,54,71,0,0,0,36,190.5,Orthodox,198.12,265,0,0
10,Vanessa Melo,,195,0,2,0,0.0,2,0,135,45,0.33,0,78,168,0,0,0,32,165.1,Orthodox,165.1,135,0,0
11,Davey Grant,,130,2,3,0,0.5,4,2,177,74,0.41,1,87,191,1,1,0,34,172.72,Orthodox,175.26,135,0,0
12,Dan Hooker,5.0,180,10,4,0,0.44,9,4,253,155,0.61,0,182,283,0,0,0,30,182.88,Switch,190.5,155,6,2
13,Mickey Gall,,235,5,2,0,0.0,6,0,106,55,0.51,0,59,111,0,0,1,28,187.96,Switch,187.96,170,0,4
14,Kyle Daukaus,,235,0,0,0,0.6,5,3,58,34,0.58,0,92,127,0,4,1,27,190.5,Southpaw,193.04,185,0,0
15,Maurice Greene,,-230,3,2,0,0.0,0,0,137,63,0.45,0,64,139,1,0,0,33,200.66,Orthodox,203.2,258,1,1
16,Khama Worthy,,195,1,0,0,0.0,0,0,101,55,0.54,0,66,114,1,0,2,33,180.34,Orthodox,187.96,155,1,0
17,Tanner Boser,,-112,1,1,0,0.0,0,0,22,15,0.68,1,15,22,0,1,0,28,187.96,Orthodox,190.5,255,0,0
18,Julian Erosa,,325,1,4,0,0.5,6,3,206,103,0.5,0,107,210,1,0,0,30,185.42,Southpaw,187.96,145,0,0
19,Jason Witt,,215,0,0,0,0.0,1,0,5,2,0.4,0,2,5,0,0,0,33,177.8,Orthodox,177.8,170,0,0
20,Jinh Yu Frey,,138,0,0,0,0.0,0,0,46,26,0.56,0,27,48,0,0,0,35,157.48,Orthodox,157.48,115,0,0
21,Youssef Zalal,,-114,1,0,0,0.0,2,0,112,59,0.52,0,70,123,0,0,1,23,177.8,Switch,182.88,145,0,0
22,Alexander Volkov,7.0,325,5,1,0,0.5,2,1,77,31,0.4,0,127,177,0,0,0,31,200.66,Orthodox,203.2,250,2,0
23,Shane Burgos,10.0,-140,6,1,0,0.0,0,0,250,128,0.51,0,148,270,0,0,0,29,180.34,Orthodox,190.5,145,2,1
24,Marion Reneau,10.0,140,5,4,1,0.5,4,2,117,46,0.39,0,81,154,0,0,0,43,167.64,Orthodox,172.72,135,2,2
25,Lyman Good,,110,3,2,0,0.0,0,0,172,81,0.47,0,84,175,0,0,0,35,182.88,Orthodox,187.96,170,3,0
26,Roosevelt Roberts,,-240,4,1,0,0.0,0,0,2,1,0.5,0,7,8,0,0,0,26,187.96,Orthodox,185.42,155,0,2
27,Bobby Green,,-235,9,7,1,0.66,3,2,150,85,0.56,0,90,158,2,0,0,33,177.8,Orthodox,180.34,155,1,3
28,Brianna Van Buren,,-210,1,0,0,0.28,7,2,68,34,0.5,0,37,71,0,1,0,26,152.4,Southpaw,157.48,115,0,0
29,Oskar Piechota,,-120,2,3,0,0.0,1,0,84,37,0.44,0,38,85,0,0,0,30,182.88,Southpaw,193.04,185,1,0
30,Gillian Robertson,,-120,4,2,0,0.75,4,3,50,21,0.42,0,41,72,1,5,0,25,165.1,Orthodox,160.02,125,1,3
31,Justin Jaynes,,280,0,0,0,0.0,0,0,30,16,0.53,1,16,30,0,0,0,30,170.18,Orthodox,170.18,155,0,0
32,Lauren Murphy,7.0,105,4,4,0,0.66,3,2,158,72,0.45,0,92,178,0,1,0,36,165.1,Orthodox,170.18,125,2,0
33,Max Rohskopf,,-185,0,0,0,0.33,6,2,54,17,0.31,0,17,55,1,2,0,25,185.42,Orthodox,187.96,155,0,0
34,Cynthia Calvillo,,-130,5,1,1,0.57,7,4,237,113,0.47,0,150,294,0,8,0,32,162.56,Orthodox,162.56,115,0,3
35,Marvin Vettori,,-230,4,2,1,0.66,3,2,64,45,0.7,0,60,79,2,2,0,26,182.88,Southpaw,187.96,185,0,1
36,Kevin Aguilar,,-185,2,2,0,0.0,2,0,135,53,0.39,0,53,135,0,0,0,31,170.18,Orthodox,185.42,155,0,0
37,Charles Jourdain,,200,1,1,0,0.0,0,0,138,62,0.44,1,65,142,0,0,0,24,175.26,Switch,175.26,145,1,0
38,Mark De La Rosa,,157,2,4,0,0.0,3,0,118,37,0.31,0,43,127,0,0,0,25,167.64,Orthodox,165.1,135,0,1
39,Hannah Cifers,,305,2,3,0,0.0,0,0,32,11,0.34,0,14,36,0,0,0,27,154.94,Orthodox,157.48,115,0,0
40,Gustavo Lopez,,635,0,0,0,0.0,0,0,57,14,0.24,0,49,103,0,0,0,30,165.1,Orthodox,170.18,135,0,0
41,Gina Mazany,,485,1,3,0,0.0,1,0,4,2,0.5,0,2,4,0,0,0,31,167.64,Southpaw,172.72,135,0,0
42,Zarrukh Adashev,,125,0,0,0,0.0,0,0,6,2,0.33,0,2,6,0,0,0,27,165.1,Southpaw,165.1,125,0,0
43,Christian Aguilera,,170,0,0,0,0.0,0,0,23,10,0.43,0,10,23,0,0,0,28,175.26,Switch,182.88,170,0,0
44,Gilbert Burns,6.0,150,11,3,0,0.25,8,2,138,83,0.6,0,156,211,1,3,0,33,177.8,Orthodox,180.34,170,3,4
45,Augusto Sakai,13.0,-115,3,0,0,0.0,0,0,161,78,0.48,0,89,174,0,0,0,29,190.5,Orthodox,195.58,265,2,0
46,Spike Carlyle,,110,1,0,0,0.5,6,3,66,37,0.56,0,64,102,0,4,3,27,172.72,Switch,180.34,145,1,0
