,location,date,weight_class,finish_round,finish_round_time,no_of_rounds,finish,winner,title_bout,finish_details,r_fighter,b_fighter,date_dt
0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Welterweight,5,5:00,5,U-DEC,Red,True,,Kamaru Usman,Jorge Masvidal,2020-07-11
1,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Featherweight,5,5:00,3,S-DEC,Red,True,,Alexander Volkanovski,Max Holloway,2020-07-11
2,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Bantamweight,5,3:24,3,KO/TKO,Red,True,Punches,Petr Yan,Jose Aldo,2020-07-11
3,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Women's Strawweight,3,5:00,3,S-DEC,Blue,False,,Jessica Andrade,Rose Namajunas,2020-07-11
4,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Women's Flyweight,1,2:21,3,SUB,Red,False,Armbar,Amanda Ribas,Paige VanZant,2020-07-11
5,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Light Heavyweight,2,0:49,3,KO/TKO,Blue,False,Punch,Volkan Oezdemir,Jiri Prochazka,2020-07-11
6,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Welterweight,3,5:00,3,S-DEC,Blue,False,,Elizeu Zaleski dos Santos,Muslim Salikhov,2020-07-11
7,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Featherweight,1,3:15,3,SUB,Red,False,Anaconda Choke,Makwan Amirkhani,Danny Henry,2020-07-11
8,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Lightweight,3,5:00,3,U-DEC,Red,False,,Leonardo Santos,Roman Bogatov,2020-07-11
9,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Heavyweight,3,5:00,3,U-DEC,Red,False,,Marcin Tybura,Maxim Grishin,2020-07-11
10,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Women's Bantamweight,3,5:00,3,U-DEC,Red,False,,Karol Rosa,Vanessa Melo,2020-07-11
11,"Abu Dhabi, Abu Dhabi, United Arab Emirates","Jul 11, 2020",Bantamweight,3,2:38,3,KO/TKO,Blue,False,Punch,Martin Day,Davey Grant,2020-07-11
