,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
0,Kamaru Usman,0.0,-240,11,0,0,0.31,16,5,151,94,0.62,0,263,341,0,2,0,33,182.88,Switch,193.04,170,2,1
1,Alexander Volkanovski,0.0,-210,8,0,0,0.33,9,3,272,137,0.5,0,139,275,0,0,0,31,167.64,Orthodox,180.34,145,3,0
2,Petr Yan,3.0,-215,6,0,0,0.5,2,1,309,194,0.62,1,258,376,0,1,0,27,170.18,Switch,170.18,135,3,0
3,Jessica Andrade,1.0,175,11,5,0,0.33,3,1,205,71,0.34,0,79,213,0,1,0,28,154.94,Orthodox,157.48,115,3,2
4,Amanda Ribas,,-770,3,0,0,1.0,1,1,7,6,0.85,0,13,15,1,1,0,26,160.02,Orthodox,167.64,115,0,1
5,Volkan Oezdemir,7.0,-159,5,3,0,0.0,1,0,92,41,0.44,0,44,95,0,0,0,30,187.96,Orthodox,190.5,205,3,0
6,Elizeu Zaleski dos Santos,,108,8,2,0,0.0,4,0,138,46,0.33,0,46,138,0,1,0,33,180.34,Orthodox,185.42,170,3,1
7,Makwan Amirkhani,,-215,5,2,0,1.0,1,1,6,2,0.33,0,2,6,1,0,0,31,177.8,Southpaw,182.88,145,1,2
8,Leonardo Santos,,-177,6,0,1,0.5,2,1,119,66,0.55,0,116,181,0,1,0,40,182.88,Orthodox,190.5,155,2,2
9,Marcin Tybura,,-112,5,5,0,0.42,7,3,52,24,0.46,0,70,119,0,4,0,34,190.5,Orthodox,198.12,249,2,0
10,Karol Rosa,,-250,1,0,0,0.5,4,2,228,120,0.52,0,177,289,0,1,0,25,165.1,Orthodox,170.18,135,0,0
11,Martin Day,,-162,0,1,0,0.0,1,0,160,62,0.38,1,69,168,0,0,1,31,177.8,Orthodox,185.42,135,0,0
12,Dustin Poirier,3.0,-225,18,6,0,0.14,7,1,231,153,0.66,0,208,289,4,1,0,31,175.26,Southpaw,182.88,155,9,3
13,Mike Perry,,-315,6,6,0,1.0,1,1,131,76,0.58,1,103,158,0,6,0,28,177.8,Orthodox,180.34,170,4,0
14,Brendan Allen,13.0,-305,2,0,0,0.0,0,0,66,41,0.62,1,79,109,0,4,4,24,187.96,Orthodox,190.5,185,1,1
15,Gian Villante,,180,10,10,0,0.0,0,0,105,72,0.68,1,91,126,0,1,0,34,190.5,Orthodox,193.04,205,5,0
16,Luis Pena,,-250,4,2,0,0.42,7,3,77,38,0.49,0,40,79,3,6,0,26,190.5,Southpaw,190.5,155,1,1
17,Philipe Lins,,-112,0,1,0,0.0,0,0,17,6,0.35,0,6,17,0,0,0,34,187.96,Orthodox,198.12,240,0,0
18,Sean Woodson,,-455,1,0,0,0.0,0,0,219,106,0.48,1,116,230,0,0,0,28,187.96,Orthodox,198.12,145,0,0
19,Takashi Sato,,-278,1,1,0,0.0,0,0,21,18,0.85,1,18,21,0,0,0,30,177.8,Southpaw,185.42,170,1,0
20,Kay Hansen,,-175,0,0,0,0.18,11,2,55,31,0.56,0,43,67,1,2,0,20,160.02,Orthodox,160.02,115,0,0
21,Jordan Griffin,,-106,1,2,0,0.25,8,2,69,28,0.4,0,33,74,0,2,1,30,177.8,Southpaw,185.42,145,0,1
22,Curtis Blaydes,3.0,-400,8,2,0,0.56,25,14,99,69,0.69,0,116,163,0,3,0,29,193.04,Orthodox,203.2,265,5,0
23,Josh Emmett,8.0,120,6,2,0,1.0,1,1,266,127,0.47,2,136,275,0,0,0,35,167.64,Orthodox,177.8,145,3,0
24,Raquel Pennington,6.0,-160,7,5,0,0.5,2,1,154,107,0.69,0,118,165,0,0,1,31,170.18,Orthodox,170.18,135,0,2
25,Belal Muhammad,,-130,7,3,0,0.25,8,2,172,82,0.47,0,86,176,0,1,0,31,180.34,Orthodox,182.88,170,1,1
26,Jim Miller,,200,20,13,0,0.0,0,0,3,2,0.66,0,9,10,1,1,0,36,172.72,Southpaw,180.34,155,3,9
27,Clay Guida,,195,17,14,0,0.25,12,3,65,23,0.35,0,27,69,0,0,0,38,170.18,Orthodox,177.8,155,2,4
